term_name,season,start_month,start_day,description,shopping_tip,health_tip,common_products,risk_note
小寒,冬,1,6,天氣寒冷進入一年低溫期,可選耐煮蔬菜與根莖類,注意保暖,白蘿蔔;高麗菜,寒流可能影響供貨
大寒,冬,1,20,一年中寒冷時節,適合選購燉煮食材,注意保暖,白蘿蔔;高麗菜,寒害可能影響葉菜
立春,春,2,4,春天開始氣溫逐漸回暖,留意春季嫩葉蔬菜,飲食宜清爽,菠菜;青江菜;高麗菜,早春溫差大
雨水,春,2,19,降雨逐漸增加,葉菜少量購買並注意保存,注意濕氣,青江菜;高麗菜,連日雨可能影響葉菜
驚蟄,春,3,6,氣溫回升春雷漸多,可選當季葉菜與豆類,食材盡早食用,青江菜;小白菜,天氣變化快
春分,春,3,21,日夜長度接近,多樣選擇當季蔬果,均衡飲食,高麗菜;小白菜,鋒面可能帶來降雨
清明,春,4,5,氣候溫暖雨量增多,可選春季蔬菜,注意食材乾燥,空心菜;四季豆,降雨可能影響採收
穀雨,春,4,20,雨水增加有利作物生長,留意當季葉菜與豆類,注意濕氣,空心菜;青江菜,連日雨可能影響葉菜價格
立夏,夏,5,6,夏季開始氣溫升高,開始選購瓜類,飲食宜清爽,絲瓜;苦瓜,高溫使保存期縮短
小滿,夏,5,21,作物逐漸飽滿,可選瓜果與夏季水果,注意補充水分,絲瓜;香蕉,梅雨可能造成波動
芒種,夏,6,6,高溫多雨農作繁忙,瓜類與耐放蔬菜較合適,食材冷藏,絲瓜;苦瓜;香蕉,豪雨可能影響供貨
夏至,夏,6,21,白天較長天氣炎熱,多選清爽瓜類,注意補水,絲瓜;苦瓜;冬瓜,午後雷雨增加
小暑,夏,7,7,天氣炎熱降雨增加,多選瓜類與耐放蔬菜,飲食宜清淡,絲瓜;苦瓜;冬瓜;地瓜葉,高溫豪雨可能造成波動
大暑,夏,7,23,高溫達到高峰,選耐熱瓜類並少量買葉菜,注意冷藏,苦瓜;冬瓜;地瓜葉,颱風與豪雨風險
立秋,秋,8,8,節氣入秋但仍炎熱,可選瓜類與初秋食材,注意溫差,苦瓜;地瓜葉,颱風季可能影響供貨
處暑,秋,8,23,暑氣逐漸減弱,留意秋季根莖類,食材保持通風,地瓜;南瓜,仍可能有高溫豪雨
白露,秋,9,8,早晚開始轉涼,可選根莖類與秋季水果,注意溫差,地瓜;南瓜,颱風季仍可能影響供貨
秋分,秋,9,23,日夜長度接近天氣轉涼,選購秋季蔬果,均衡飲食,地瓜;高麗菜,東北風增強
寒露,秋,10,8,氣溫明顯轉涼,可選涼季蔬菜,注意保暖,高麗菜;白蘿蔔,早晚溫差大
霜降,秋,10,24,天氣漸冷可能出現霜,涼季高麗菜開始合適,多吃溫熱料理,高麗菜;白蘿蔔,低溫可能影響嫩葉
立冬,冬,11,8,冬季開始,適合耐煮蔬菜與根莖,注意保暖,白蘿蔔;高麗菜,冷氣團影響供應
小雪,冬,11,22,天氣更冷,選耐放且適合燉煮食材,注意保暖,白蘿蔔;高麗菜,低溫影響生長
大雪,冬,12,7,寒意加深,適合根莖與涼季蔬菜,溫熱飲食,白蘿蔔;高麗菜,寒流可能造成波動
冬至,冬,12,22,白天較短天氣寒冷,選耐煮蔬菜與根莖類,注意保暖,白蘿蔔;高麗菜,寒流可能影響供應

